lien_emploie,date,nom_entreprise,secteur_activite,metier,poste_propose,localisation,delais,type_de_contrat,exigences
https://doopin.net/fOzsD,02/08/2022,SociétéGrandMoulinduCameroun(SGMC),Comptabilité-Gestion,Contrôleurinterne,CONTROLEUR INTERNE – Douala,"Douala,Littoral,Cameroon",31Aug.2022,Nonspécifié,"|Les candidatures pourront être déposées à l'adresse : recrutementsgmc@sgmc.somdiaa.com|» Niveau d'expérience: Expérimenté|Genre: Homme / Femme|Placé sous la responsabilité du Directeur Général, ses activités seront entre autres:|Catégorie socioprofessionnelle: Agent de Maîtrise / Cadre|En raison de l’accroissement de son activité, la SGMC recrute : un Contrôleur Interne.|La SGMC produit différents types de farines adaptées aux besoins de ses clients : boulangers, pâtissiers, industriels.... Elle les commercialise sous les marques : ASSO, TIGRE, DUO, La Boulangère, MaCopine et YANA.|Attitudes et comportements attendus du titulaire du poste|» Années d'expérience: Entre 5 ans et 8 ans 
                                                                                                » Niveau Académique Minimum: Licence|Secteur géographique couvert: Cameroun, avec missions régulières au Tchad et au Togo|Minimum Bac + 3 Formation Audit/Contrôle interne/FinanceExpérience dans la gestion de contraintes/normes et système documentaires associés et/ou en gestion des risquesMinimum 5 ans d’expérience dans la fonction d’Audit/Contrôle interne. Une expérience dans une multinationale serait appréciée.Logiciels : Pack Office|Située à l'intérieur du Port Autonome de Douala, la SGMC détient un emplacement privilégié au Cameroun, qui lui permet de décharger ses intrants de production dont le blé et les correcteurs de meuneries.|Nombre de poste à pourvoir: 01|Etudier les risques liés aux activités de l’entreprise et en établir la cartographieDéfinir
 et rédiger les dispositifs de contrôle interne (procédures, indicateurs
 de mesure et d’alerte…) nécessaires à la maîtrise des risques 
identifiésDéfinir
 des axes d’amélioration et formuler des préconisations pour garantir 
une couverture optimale des risques et le respect des exigences 
réglementairesAnalyser et synthétiser les informationsMettre en place, piloter et évaluer le dispositif de contrôle interne|Rigueur, intégrité, discrétion Sens de l’organisation, autonomieCapacités d’analyse et de synthèseCuriosité naturelle et esprit critiqueObjectivité|» Lettre de Motivation|Date d’entrée souhaitée: 01/09/2022|» Curriculum Vitae|Ensemble des connaissances théoriques et pratiques :|La
 mission du Contrôleur Interne sera entre autres de mettre en œuvre un 
dispositif de contrôle de l’organisation et des process de l’entreprise 
afin de contribuer à la réduction des risques liés au fonctionnement de 
l’entreprise et facilite la continuité de ses activités en cas de 
problème majeur.|Société Anonyme de Droit Camerounais créée en 1991 et au capital de 5.700.000.000 francs CFA, la Société le Grand Moulin du Cameroun (SGMC) a pour activité la production et la commercialisation des farines de blé tendre à savoir : Boulangère, Tigre, Duo, Asso, Industrielle, Macopine, YANA et des issues de meunerie destinées aux éleveurs.|Savoir-faire :|Bonne maîtrise de la loi SAPIN 2Excellente maîtrise du français et bonnes connaissances en anglais|Nature du contrat: CDI|"
https://doopin.net/EuUHv,02/08/2022,CIMENCAM,Commerce-Vente-Distribution,Responsabledesventes,SALES SERVICE COORDINATOR – Douala,"Douala,Littoral,Cameroon",07Aug.2022,Nonspécifié,"|» Niveau d'expérience: Expérimenté 
                                                                                                » Années d'expérience: Entre 3 ans et 5 ans 
                                                                                                » Niveau Académique Minimum: Master|CV et lettre de motivation à envoyer EXCLUSIVEMENT à l'adresse : emploi.cimencam@holcim.com en précisant en objet le titre du poste « Sales Service Coordinator».|Seuls les CVs sélectionnés seront convoqués pour la suite du processus de recrutement.|II/elle doit avoir :|• Veiller à la résolution des plaintes clients liées aux activités du front office|• Une bonne connaissance dans la gestion de la relation client|Appel à candidatures INTERNE / EXTERNE|Poste : 01 SALES SERVICE COORDINATOR|• L'esprit de travail en équipe|• L'Intégrité morale|• Bac + 4/5 Informatique, Gestion, Commerce International, Logistique, Marketing, Droit ou Ventes|• Gérer la relation et les requêtes client|• Un bon sens de collaboration et orienté résultats|• Au moins 4 ans d'expérience professionnelle dans un poste similaire|[ CIMENCAM RECRUTE ]|• S'assurer de la préparation et de la disponibilité des dossiers de douanes (export)|• Mettre en place tout reporting nécessaire aux activités des commandes clients|Date limite de dépôt des dossiers : 07 août 2022|• Un bon niveau d'autonomie dans les tâches et un bon sens de l'anticipation|• Une bonne connaissance de la suite MS Office (Word, Excel)|• Superviser et coacher les équipes du front office|• Être âgé de 28 ans et plus|MISSIONS PRINCIPALES|• Arbitrer le cas échéant sur l'opportunité du traitement des commandes|• Une bonne connaissance du fonctionnement des ERPs (JDE, SAP)|• S'assurer du traitement complet des commandes des clients|» Curriculum Vitae|• Proposer des solutions innovantes au fonctionnement du front office|• Une bonne capacité à communiquer en Anglais et Français|• Contribuer à l'amélioration continue du service des commandes clients|POSTE BASÉ À USINE DE DOUALA|» Lettre de motivation|» 
                                                                    Au moins 28                                                                     ans|ACTIVITÉS • S'assurer de la conformité des soldes des comptes clients au traitement des commandes • S'assurer de la saisie des autorisations d'enlèvement de toutes les ventes avant les opérations de clôture • Suivre les réconciliations des ventes (notamment celles faites hors systèmes)|"
https://doopin.net/rhgxW,02/08/2022,CIMENCAM,Comptabilité-Gestion,Comptable,BACK OFFICE COORDINATOR – Douala,"Douala,Littoral,Cameroon",07Aug.2022,Nonspécifié,"|Appel à candidatures INTERNE / EXTERNE|• Contrôler la conformité de la facturation|» Niveau d'expérience: Expérimenté 
                                                                                                » Années d'expérience: Entre 3 ans et 5 ans 
                                                                                                » Niveau Académique Minimum: Master|Date limite de dépôt des dossiers : 07 août 2022|• Bac +4/5 en Comptabilité, Gestion, Économie, Finance, Droit, Informatique|• Contrôler le basculement du détail des ventes en comptabilité et la réconciliation du revenu|• Au moins 4 ans d'expérience professionnelle dans un poste de gestion des clients ou un poste informatique serait un atout|• Gérer l'ontine Customer care (Service client sur les réseaux sociaux)|• Une bonne capacité à communiquer en Anglais et en Français|Seuls les CVs sélectionnés seront convoqués pour la suite du processus de recrutement.|• L'esprit de travail en équipe|ACTIVITÉS|• Assurer le paramétrage des prix de vente clients|• Reporter sur les Interactions réalisées avec les clients et les KPIs de satisfaction client|• Gérer les communications du service client par les différents canaux (courriers, SMS, Appels, WhatsApp)|PROFIL / COMPÉTENCES CLÉS|• Assurer la correction des erreurs de facturation, et autres remises/ristournes clients,|• L'Intégrité morale|• S'assurer du respect des procédures et modes opératoires back-office (facturation, gestion des réclamations),|• Un bon sens de collaboration et orienté résultats|CV et lettre de motivation à envoyer EXCLUSIVEMENT à l'adresse : 
emploi.cimencam@holcim.com en précisant en objet le titre du poste « Back Office Coordinator».|[ CIMENCAM RECRUTE ]|• Vérifier périodiquement le paramétrage des comptes clients|• Être âgé de 28 ans et plus II/elle doit avoir :|• Un bon niveau d'autonomie dans les tâches et un bon sens de l'anticipation|• Résoudre les bugs et dysfonctionnements liés à la facturation|• Une bonne connaissance de la suite MS Office (Word, Excel)|• Une bonne capacité à manager et conduire une équipe|MISSIONS PRINCIPALES|• Une bonne connaissance du fonctionnement des ERPs (JDE, SAP)|• S'assurer de la transmission des documents comptables aux clients (factures, extraits de compte, attestation de retenue à la source TVA, factures d'avoir issues des rétributions...)|» Curriculum Vitae|• Une bonne connaissance de la comptabilité client|POSTE BASÉ A : USINE DE DOUALA|» Lettre de motivation|• S'assurer du traitement des interactions avec les clients|» 
                                                                    Au moins 28                                                                     ans|Poste : 01 BACK OFFICE COORDINATOR|"
https://doopin.net/RBgwd,02/08/2022,EaseTravelServices,Informatique-Electronique-Numérique,Développeur,Product Designer – Douala,"Douala,Littoral,Cameroon",20Aug.2022,Nonspécifié,"|Pour postuler, envoyer CV + Lettre de motivation à l’adresse career@ease-ts.com avec pour objet << Product designer Douala >>|Expérience précédente dans un rôle de designer    Bonne maitrise des différents outils de design (figma, adobe XD etc...)    Capacités à être créatif et représenter une force de proposition|Vous êtes le bon profil ? Envoyez-nous vos références et dites-nous pourquoi vous êtes la bonne personne pour le poste|» Curriculum Vitae|» Années d'expérience: Entre 2 an et 3 ans|» Lettre de motivation|Salaire: 150000 FCFA - 300000 FCFA|Nous recherchons pour notre entreprise un UI designer qui sera en charge de la création de nos interfaces, de l’analyse des besoins de nos utilisateurs et de la transformation des-dits besoins en amélioration de nos produits Au sain de l'équipe, vous travaillerez en étroite collaboration avec l'équipe technique ainsi que l'équipe produite pour trouver des solutions aux différents challenges. Vous nous aiderez à créer des produits visuellement beaux et faciles à utiliser.||» Niveau d'expérience: Expérimenté|Définir les spécifications fonctionnelles des produits    Préparer les sketch et prototypes graphiques définissant toutes les interactions    Analyse de l'impact de nos produits en rapport avec le marché    Effectuer des test fonctionnels avec l'équipe de développement    Analyse des retours clients ainsi que des données d'utilisation    Identifier des opportunités d'amélioration de nos interfaces existantes ou de création de nouveaux produits|"
https://doopin.net/OpTVq,02/08/2022,UnEmployeur,Industriel,Ingénieurélectricien,INGÉNIEUR ÉLECTRICIEN – Douala,"Bonabéri,Douala,Littoral,Cameroon",Postulerauplustôt,Nonspécifié,"Cv, copie diplôme et lettre de motivation attendus àb.heubo@gmail.com|» Niveau Académique Minimum: Ingénieur|Une nouvelle usine  industrielle installée à Douala Bonaberi Cameroun recherche en urgence  un ingénieur électricien (PAS DE LICENCE OU MASTER PROFESSIONNEL).|» Lettre de motivation
                                                                » Curriculum Vitae||Le postulant doit être  âgé de 30 ans au plus et disponible dès mois août 2022. Il sera  immédiatement intégré dans une équipe d'ingénieurs pour une formation  pratique.|» Copie diplôme|» 
                                                                    18 - 30                                                                     ans|"
https://doopin.net/sTzJV,02/08/2022,HOTELLASARDOINE-Hls,Hôtellerie-Restauration,Réceptionniste,"RÉCEPTIONNISTE, SERVEUSE, CAISSIER, VALET DE CHAMBRE – Douala","Douala,Littoral,Cameroon",07Aug.2022,Nonspécifié,|Délai: 07 Août 2022|*Plan de localisation|We Are HIRING!|WhatsApp: 690948331|Réceptionniste Serveuse Caissier Valet de chambre|*CV|Dossiers:||Pour notre site de Douala-Village nous recherchons les profils suivants:|
https://doopin.net/PZdYb,02/08/2022,GRACEDemo'sCenter,Administration,Secrétaire,SECRÉTAIRE QUALIFIÉ – Yaoundé,"Yaoundé,Centre,Cameroon",05Aug.2022,Nonspécifié,"|DATE DE DÉLAI POUR LE DÉPÔT DES DOSSIERS 05 AOÛT 2022|Saisie traitement impression des documentsMontage des cartes de visite, funérailles etcVente des fournitures scolairesTraitement des données sur Internet|Elle doit être capable de :|GRACE DEMOS CENTER|situé a nsimeyong lieu dit carrefour olympique recherche pour ses besoins une Secrétaire qualifié|CVLettre de motivationPhotocopie du dernier diplômePhotocopie CNI|Contact WhatsApp : +237 690 36 34 94 +237 6 56 58 75 31||Documents à fournir:|La boutique|"
https://doopin.net/xhuGT,02/08/2022,DHCS,Chimie-Biologie,Techniciendelaboratoire,TECHNICIEN EN IMAGERIE MÉDICALE – Yaoundé,"Yaoundé,Centre,Cameroon",Postulerauplustôt,Nonspécifié,"Dans le cadre de lancement du centre de santé DHCS à Yaoundé, nous recrutons un Technicien en Imagerie Médicale avec ou sans expérience professionnelle pour travailler de Lundi à Samedi.|Savoir-être|Envoyez votre CV + lettre de motivation a l’adresse dhcs.yaounde@gmail.com|» Lettre de motivation|Compétences & actions|Réaliser des prestations techniques qui ne requièrent pas obligatoirement une prescription médicale :Réaliser une anamnèse du patient et récolter les données nécessaires au bon déroulement de l’examenMesurer les paramètres du patientInformer le patient du déroulement de l’examenPositionner correctement le patient pour les examensAdapter les procédures standards aux besoins individuels du patientManipuler les appareils d’imagerieAnalyser les images au moyen de critères d’évaluation scientifiquement établis, sans formuler de diagnosticOptimiser la qualité d’image avant, pendant et après l’examenPréparer des images et rendre le rapport pour faciliter l’établissement du diagnostic médicalDonner l’alerte lors de la reconnaissance d’une situation critique aiguëArchiver des images analogiques et numériquesAssurer la gestion et l’entretien du matériel, de l’équipement et des produitsRespecter les prescriptions de sécurité et les directives en vigueur||Qu’est ce qui constitue des atouts ?
Bilingue (Français – Anglais)Polyvalence dans le travailMaîtrise de l’outil informatique|Recevoir les patients du centre selon le protocole définis par le centreEffectuer les échographies tel qu’indiqué par le prescripteurFournir des résultats de qualitéCollaborer avec les autres membres de l’équipe médicale pour offrir le meilleur service aux patients|» Curriculum Vitae|Des capacités humaines comme le contact, l’écoute, la communication, la patience, l’ouverture.Un esprit de progrès et de remise en question : conscience 
professionnelle, sens des responsabilités, secret professionnel, esprit 
de recherche|Responsabilités|"
https://doopin.net/UzRls,02/08/2022,GFAGLOBALAFRICAFOODS,Comptabilité-Gestion,Assistantcomptable,ASSISTANTE COMPTABLE ET ADMINISTRATIVE – Douala,"Douala,Littoral,Cameroon",15Aug.2022,Nonspécifié,"• Gérer les stocks théoriques. émettre les factures|Ou Envoyez-nous vos CVS + Lettre de motivation à l'adresse suivante : globalafricafoods@gmail.com|Cliquer sur le bouton Postuler pour envoyer votre candidature en ligne|» Curriculum Vitae|• Établir un fichier de suivi des commandes, état des créances clients et recouvrement|• Être force de proposition pour l'amélioration|• S'occuper de toutes les formalités administratives (correspondances administratives. gestion du personnel. tenue du fichier de paie..)|» Lettre de motivation|Depuis Juin 2020, GAF SARL connait une bonne croissance et ses produits commencent à gagner en notoriété. Grâce à notre savoir-faire et à notre capacité à innover. nous avons su nous constituer une place de choix sur le marché des assaisonnements au cameroun et progressivement en Afrique. ce succès est le résultat d'un travail de chaque instant et de la collaboration de toute l'équipe qui travaille avec passion et acharnement. Nous Chérissons nos valeurs de partage, de responsabilité, d'esprit de gagnant et la discipline. Notre leitmotiv est la recherche constante des solutions et la communication, ce qui nous ont permis d'affirmer notre marque « Saveurs d'Afrique » comme l'incontournable pour la réussite de vos plats.Afin de poursuivre notre phase de développement. nous avons besoin de personnes dynamiques, autonomes et passionnées par l'agro-alimentaire.seras-tu le talent qu'il nous faut pour franchir un nouveau palier ?UNE ASSISTANTE COMPTABLE ET ADMINISTRATIVE|NOUS RECRUTONS: ASSISTANTE COMPTABLE ET ADMINISTRATIVE|• Gestion des pages. prospection. bilan de présence.|Date limite : 15 Août 2022|"
https://doopin.net/YmBBp,02/08/2022,UnEmployeur,Informatique-Electronique-Numérique,Administrateursystèmesetréseaux,01 ADMINISTRATEUR RÉSEAUX ET 01 CHAUFFEUR – Cameroun,"Lieu,Nonspécifié,Cameroon",10Aug.2022,Nonspécifié,"Envoyez-nous vos lettre de motivation, cv photocopie du diplôme, photocopie CNI à envoyer par mail tsayongbilly@yahoo.com|Délais de candidature le 10 Août  à 17H|Un chauffeur:|Administrateur réseaux|Digital entreprise, une entreprise informatique qui a pour rôle apporter des solutions informatique aux usagers et aux entreprises recrute un administrateur réseaux et un chauffeur|Bac+3 en réseau et télécoms avec deux ans d’expériences|Permis B + 3 ans d’expériences|"
